Site,Code,C14Age,C14SD,LabNumber,Material,Tradition,Sub,Latitude,Longitude,SiteDescription,Comments,Reference,FullReference,Exclude,calCurves,resOffsets,resErrors,Period,L1,L2,Name,Cultural Affiliation
Santa Tecla I,,570,50,B-197129,,Tupiguarani,Guarani,-27.637,-56.615,,,Rodríguez 2009,"Rodríguez, Jorge A. 2009. “La Ocupación (Poblamiento) Del Norte de Corrientes (Argentina) Por Fase de La Tradición Tupiguaraní.” In Arqueologia Interpretativa. O Método Quantitativo Para o Establecimento de Seqüências Cerâmicas: Estudos de Casos, edited by Betty J Meggers, 49–62. Porto Nacional: UNITINS.",FALSE,shcal20,0,0,,TP,,Santa Tecla I,Tupiguarani (Guarani)
ES-VI-20,ES-VI-20,560,70,SI-832,,Tupiguarani,,-20.2981,-40.2959,,The dates for sites ES-VI-11 and ES-VI-20 are published with the same laboratory number.,Perota 1975,"Perota, C. 1975. “As Datações Do C-14 Dos Sítios Arqueológicos Do Espírito Santo.” Revista Da Cultura UFES 4 (6).",FALSE,shcal20,0,0,,TP,,ES-VI-20,Tupiguarani
Ferraz Egreja,MT-SL-91,560,60,Gif-7091,Charcoal,Tupiguarani,,-16.5167,-54.8278,"Rock shelter with parietal art and long history of occupation, mostly preceramic, with numerous superimposed hearths.",,Fontugne et al. 2006,"Fontugne, Michel, Christine Hatté, and Claude Noury. 2006. “Quadro Cronológico.” In Pré-História Do Mato Grosso, edited by Águeda V Vialou, EdUSP, 45–48. São Paulo.",FALSE,shcal20,0,0,,TP,,Ferraz Egreja (MT-SL-91),Tupiguarani
Olho D'água I,SC00634,560,40,Beta-280652,Charcoal,Tupiguarani,Guarani,-28.7917,-49.1972,Five patches of dark earth with domestic debris.,,Milheira and DeBlasis 2011,"Milheira, Rafael Guedes, and Paulo DeBlasis. 2011. “O Território Guarani No Litoral Sulcatarinense: Ocupação e Abandono No Limiar Do Período Colonial.” Revista de Arqueologia Americana 29: 147–82.",FALSE,shcal20,0,0,,TP,,Olho D'água I (SC00634),Tupiguarani (Guarani)
RS-T-114,RS-T-114,560,40,Beta-249391,Charcoal,Tupiguarani,Guarani,-29.2885,-52.1195,"Layer of dark earth with abundant ceramic debris, ovens and pit features.",,Fiegenbaum 2009,"Fiegenbaum, Jones. 2009. “Um Assentamento Tupiguarani No Vale Do Taquari/RS.” São Leopoldo: Unisinos.",FALSE,shcal20,0,0,,TP,,RS-T-114,Tupiguarani (Guarani)
Segunda Corredeira,PR-FL-23,560,60,SI-700,Charcoal,Tupiguarani,Guarani,-23.6009,-52.2895,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Segunda Corredeira (PR-FL-23),Tupiguarani (Guarani)
ES-VI-11,ES-VI-11,555,40,SI-832,Charcoal,Tupiguarani,,-20.3048,-40.371,,The dates for sites ES-VI-11 and ES-VI-20 are published with the same laboratory number.,Perota 1975,"Perota, C. 1975. “As Datações Do C-14 Dos Sítios Arqueológicos Do Espírito Santo.” Revista Da Cultura UFES 4 (6).",FALSE,shcal20,0,0,,TP,,ES-VI-11,Tupiguarani
Joaquim Guilherme,BA-26,550,95,SI-821,Charcoal,Tupiguarani,,-13.7625,-41.25,,,Calderón 1967,"Calderón, Valentin. 1967. “Notícia Preliminar Sobre as Seqüências Arqueológicas Do Médio São Francisco e Da Chapada Diamantina, Estado Da Bahia.” Publicaçoes Avulsas Do Museu Paraense Emilio Goeldi, no. 6.",FALSE,shcal20,0,0,,TP,,Joaquim Guilherme (BA-26),Tupiguarani
Sibelco,,550,60,Beta-262752,Charcoal,Tupiguarani,Guarani,-28.6213,-48.9991,5 patches of dark earth with fire pits and post holes.,,Milheira 2010,"Milheira, Rafael Guedes. 2010. “Arqueologia Guarani No Litoral Sul-Catarinense: História e Território.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Sibelco,Tupiguarani (Guarani)
Tapera,SC00335,550,70,SI-244,Charcoal,Tupiguarani,Guarani,-27.67,-48.57,Extensive coastal site with 176 burials deposited under the house floors.,,Long and Mielke 1967,"Long, A, and J Mielke. 1967. “Smithsonian Institution Radiocarbon Measurements IV.” Radiocarbon 6: 368–81.",FALSE,shcal20,0,0,,TP,,Tapera (SC00335),Tupiguarani (Guarani)
Bitoca 1,PA-AT-277,540,80,Beta-227305,Charcoal,Tupiguarani,,-5.8202,-50.5021,ADE site.,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Bitoca 1 (PA-AT-277),Tupiguarani
Culuene 1,,540,60,Beta-210470,,Tupiguarani,,-14.52,-52.89,,,Corrêa 2014,"Corrêa, Angelo A. 2014. “Pindorama de Mboîa e Îakaré: Continuidade e Mudança Na Trajetória Das Populações Tupi.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Culuene 1,Tupiguarani
Passo Fundo,RS-LN-16,540,100,SI-411,,Tupiguarani,Guarani,-29.933,-50.217,,,Stuckenrath and Mielke 1970,"Stuckenrath, R, and J Mielke. 1970. “Smithsonian Institution Radiocarbon Measurements VI.” Radiocarbon 12 (1): 193–204.",FALSE,shcal20,0,0,,TP,,Passo Fundo (RS-LN-16),Tupiguarani (Guarani)
Porto de Areia 2,PR-QN-02,540,60,SI-697,Charcoal,Tupiguarani,Guarani,-23.2796,-52.7738,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Porto de Areia 2 (PR-QN-02),Tupiguarani (Guarani)
Arnaldo M. Silva,RS-MJ-47,530,120,SI-816,Charcoal,Tupiguarani,Guarani,-29.85,-53.38,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Arnaldo M. Silva (RS-MJ-47),Tupiguarani (Guarani)
Caldeirão 1,PA-AT-18,530,55,,,Tupiguarani,Itacaiúnas,-5.8766,-50.489,ADE site with 0.9 ha.,,Simões 1986,"Simões, Mário F. 1986. “Salvamento Arqueológico.” In Carajás: Desafio Político, Ecologia e Desenvolvimento, edited by J M G Almeida Jr., 535–59. Brasília: CNPq.",FALSE,shcal20,0,0,,TP,,Caldeirão 1 (PA-AT-18),Tupiguarani (Itacaiúnas)
Ferraz Egreja,MT-SL-91,530,50,Gif-9045,Charcoal,Tupiguarani,,-16.5167,-54.8278,"Rock shelter with parietal art and long history of occupation, mostly preceramic, with numerous superimposed hearths.",,Fontugne et al. 2006,"Fontugne, Michel, Christine Hatté, and Claude Noury. 2006. “Quadro Cronológico.” In Pré-História Do Mato Grosso, edited by Águeda V Vialou, EdUSP, 45–48. São Paulo.",FALSE,shcal20,0,0,,TP,,Ferraz Egreja (MT-SL-91),Tupiguarani
Maximiliano de Almeida,,530,70,,,Tupiguarani,Guarani,-27.53,-51.81,,,Noelli 1999,"Noelli, Francisco Silva. 1999. “A Ocupação Humana Na Região Sul Do Brasil: Arqueologia, Debates e Perspectivas-1872-2000.” Revista USP 44: 218–69.",FALSE,shcal20,0,0,,TP,,Maximiliano de Almeida,Tupiguarani (Guarani)
Pesqueiro Barragem de Rosana,PR-NL-07,530,55,SI-6400,,Tupiguarani,Guarani,-22.6119,-52.8533,Domestic floor with hearth.,,Chmyz and Chmyz 1986,"Chmyz, Igor, and J C Chmyz. 1986. “Datações Radiométricas Em Áreas de Salvamento Arqueológico Do Estado Do Paraná.” Revista Do CEPA 5: 69–77.",FALSE,shcal20,0,0,,TP,,Pesqueiro Barragem de Rosana (PR-NL-07),Tupiguarani (Guarani)
Santa Rita,RS-SR-342,530,70,Beta-118375,,Tupiguarani,Guarani,-29.981,-51.533,,,Hilbert 1999,"Hilbert, Klaus. 1999. “Arqueologia Guarani Na Região de Guaíba - RS.” In X Reunião Científica Da Sociedade de Arqueologia Brasileira. Recife: SAB.",FALSE,shcal20,0,0,,TP,,Santa Rita (RS-SR-342),Tupiguarani (Guarani)
Totó,PS-03,530,40,Beta-237665,Charcoal,Tupiguarani,Guarani,-31.711,-52.195,Dark layer with high density of ceramic debris and fragmented funerary urn.,,Milheira 2008,"Milheira, Rafael Guedes. 2008. “Território e Estratégia de Assentamento Guarani Na Planície Sudoeste Da Laguna Dos Patos e Serra Do Sudeste - RS.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Totó (PS-03),Tupiguarani (Guarani)
Rio Ferraria 1,PR-CT-54,528,70,Beta-22645,,Tupiguarani,Guarani,-25.4756,-49.3842,,,Chmyz 1995,"Chmyz, Igor. 1995. “Arqueologia de Curitiba.” Boletim Informativo Da Casa Romário Martins 21 (105): 5–54.",FALSE,shcal20,0,0,,TP,,Rio Ferraria 1 (PR-CT-54),Tupiguarani (Guarani)
Ensenada del Bellaco,,526,45,AA-103895,Human bone,Tupiguarani,Guarani,-33.0915,-58.4349,The site contained burials.,,Bonomo et al. 2015,"Bonomo, Mariano, Rodrigo C Angrizani, Eduardo Apolinaire, and Francisco Silva Noelli. 2015. “A Model for the Guaraní Expansion in the La Plata Basin and Littoral Zone of Southern Brazil.” Quaternary International 356: 54–73.",FALSE,shcal20,0,0,,TP,,Ensenada del Bellaco,Tupiguarani (Guarani)
Bitoca 2,PA-AT-278,520,50,Beta-227309,Charcoal,Tupiguarani,,-5.8237,-50.4992,ADE site.,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Bitoca 2 (PA-AT-278),Tupiguarani
Edinaldo,PA-AT-289,520,50,Beta-227314,Charcoal,Tupiguarani,,-5.808,-50.5376,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Edinaldo (PA-AT-289),Tupiguarani
Jovino,MG-GV-53,520,90,SI-2785,,Tupiguarani,,-20.97,-46.04,The site contained burials.,,Dias Jr. 1975,"Dias Jr., Ondemar. 1975. “Pesquisas Arqueológicas No Sudeste Brasileiro.” Boletim Do Instituto de Arqueologia Brasileira Série Espe (1).",FALSE,shcal20,0,0,,TP,,Jovino (MG-GV-53),Tupiguarani
Llamarada 1,,520,50,Beta-41942,,Tupiguarani,Guarani,-28.319,-58.082,,,Mujica 1995,"Mujica, J I. 1995. “Un Sitio Guaraní En El Centro de La Provincia de Corrientes -Llamarada- Santa Rosa. Depto. de Concepción.” In XX Encuentro de Geohistoria Regional, 135–48. Governador Virasoro.",FALSE,shcal20,0,0,,TP,,Llamarada 1,Tupiguarani (Guarani)
Morro Bonito I,SC00627,520,50,Beta-262753,Charcoal,Tupiguarani,Guarani,-28.6063,-48.9639,A village with preserved primary contexts in the interior of completely burnt houses.,,Milheira 2010,"Milheira, Rafael Guedes. 2010. “Arqueologia Guarani No Litoral Sul-Catarinense: História e Território.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Morro Bonito I (SC00627),Tupiguarani (Guarani)
Passo Fundo,RS-LN-16,520,200,SI-410,,Tupiguarani,Guarani,-29.933,-50.217,,,Stuckenrath and Mielke 1970,"Stuckenrath, R, and J Mielke. 1970. “Smithsonian Institution Radiocarbon Measurements VI.” Radiocarbon 12 (1): 193–204.",FALSE,shcal20,0,0,,TP,,Passo Fundo (RS-LN-16),Tupiguarani (Guarani)
Trevisan,Mt04,520,30,Beta-469161,Charcoal,Tupiguarani,,-9.8132,-57.8212,Site with ADE enclosed by ditch. Ceramics are provisionally assigned to Tupi influence given Munduruku occupation of the area and similarities with Mangabal and other complexes (Gaspar 2014).,,Souza 2018,"Souza, Jonas Gregorio de, Denise Pahl Schaan, Mark Robinson, Antonia Damasceno Barbosa, Luiz E. O. C. Aragão, Ben Hur Marimon, Beatriz Schwantes Marimon, et al. 2018. “Pre-Columbian Earth-Builders Settled along the Entire Southern Rim of the Amazon.” Nature Communications 9 (1): 1125.",FALSE,shcal20,0,0,,TP,,Trevisan (Mt04),Tupiguarani
Trevisan,Mt04,520,30,Beta-469165,Charcoal,Tupiguarani,,-9.8132,-57.8212,Site with ADE enclosed by ditch. Ceramics are provisionally assigned to Tupi influence given Munduruku occupation of the area and similarities with Mangabal and other complexes (Gaspar 2014).,,Souza 2018,"Souza, Jonas Gregorio de, Denise Pahl Schaan, Mark Robinson, Antonia Damasceno Barbosa, Luiz E. O. C. Aragão, Ben Hur Marimon, Beatriz Schwantes Marimon, et al. 2018. “Pre-Columbian Earth-Builders Settled along the Entire Southern Rim of the Amazon.” Nature Communications 9 (1): 1125.",FALSE,shcal20,0,0,,TP,,Trevisan (Mt04),Tupiguarani
Abrigo Pedra Talhada,GO-NI-176,510,65,CENA-246,Charcoal,Tupiguarani,,-13.9506,-48.2772,Rock shelter.,,Pontim 2011,"Pontim, Rute L. 2011. “A Tradição Tupiguarani Na Bacia Do Alto Tocantins.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Abrigo Pedra Talhada (GO-NI-176),Tupiguarani
Água Suja 8,TO00555,510,60,Beta-160592,,Tupiguarani,,-10.5107,-48.4419,,,Bueno 2005,"Bueno, Lucas M R. 2005. “As Indústrias Líticas Da Região Do Lajeado e Sua Inserção No Contexto Do Brasil Central.” Revista Do Museu de Arqueologia e Etnologia 15: 37–57.",FALSE,shcal20,0,0,,TP,,Água Suja 8 (TO00555),Tupiguarani
Bitoca 1,PA-AT-277,510,40,Beta-195711,Charcoal,Tupiguarani,,-5.8202,-50.5021,ADE site.,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Bitoca 1 (PA-AT-277),Tupiguarani
Caxambu do Sul 1,SC-U-55,510,70,SI-547,Charcoal,Tupiguarani,Guarani,-27.117,-53.083,,,Stuckenrath and Mielke 1972,"Stuckenrath, R, and J Mielke. 1972. “Smithsonian Institution Radiocarbon Measurements VII.” Radiocarbon 14 (2): 401–12.",FALSE,shcal20,0,0,,TP,,Caxambu do Sul 1 (SC-U-55),Tupiguarani (Guarani)
Fazenda Soares,RS-RG-02,510,60,Beta-64284,Charcoal,Tupiguarani,Guarani,-31.847,-52.222,,,Carle 2002,"Carle, Mirian Baptista. 2002. “Investigação Arqueológica Em Rio Grande: Uma Proposta Da Ocupação Guarani Pré-Histórica No Rio Grande Do Sul .” Porto Alegre: PUCRS.",FALSE,shcal20,0,0,,TP,,Fazenda Soares (RS-RG-02),Tupiguarani (Guarani)
Ilha Verde 2,MS-PR-57,510,50,Beta-218207,,Tupiguarani,Guarani,-21.209,-51.878,,,Kashimoto and Martins 2008,"Kashimoto, Emilia M, and Gilson R Martins. 2008. “A Problemática Arqueológica Da Tradição Cerâmica Tupiguarani No Mato Grosso Do Sul.” In Os Ceramistas Tupiguarani, edited by André Prous and Tania A Lima, 149–78. Belo Horizonte: Sigma.",FALSE,shcal20,0,0,,TP,,Ilha Verde 2 (MS-PR-57),Tupiguarani (Guarani)
Itapinima I,PA-AL-39,510,70,SI-4342,,Tupiguarani,,-3.24,-52.21,ADE site.,,Rocha 2017,"Rocha, Bruna. 2017. “Ipi Ocemumuge: A Regional Archaeology of the Upper Tapajós River.” London: University College of London.",FALSE,shcal20,0,0,,TP,,Itapinima I (PA-AL-39),Tupiguarani
Llamarada 1,,510,50,Beta-41945,,Tupiguarani,Guarani,-28.319,-58.082,,,Mujica 1995,"Mujica, J I. 1995. “Un Sitio Guaraní En El Centro de La Provincia de Corrientes -Llamarada- Santa Rosa. Depto. de Concepción.” In XX Encuentro de Geohistoria Regional, 135–48. Governador Virasoro.",FALSE,shcal20,0,0,,TP,,Llamarada 1,Tupiguarani (Guarani)
Morro Bonito III,SC00629,510,40,Beta-262755,Charcoal,Tupiguarani,Guarani,-28.6129,-48.9918,,,Milheira 2010,"Milheira, Rafael Guedes. 2010. “Arqueologia Guarani No Litoral Sul-Catarinense: História e Território.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Morro Bonito III (SC00629),Tupiguarani (Guarani)
Morro Grande,RJ00361,510,160,Plid-0688b,Charcoal,Tupiguarani,,-22.7853,-42.3636,"Dark layer of hearths and charcoal with funerary urns buried in pits, accompanied by painted ceramics and surrounded by hearths.",,Buarque et al. 2003,"Buarque, Angela, Claudia Rodrigues-Carvalho, and Elizabeth C Silva. 2003. “Programa Funerário Dos Tupinambá Em Araruama, RJ - Sítio Bananeiras.” Revista Do Museu de Arqueologia e Etnologia 13: 39–55.",FALSE,shcal20,0,0,,TP,,Morro Grande (RJ00361),Tupiguarani
PE-123-Pja,,510,150,BaH-1254,,Tupiguarani,,-7.83,-38.09,,,Albuquerque 2008,"Albuquerque, Marco. 2008. “Recipientes Cerâmicos de Grupos Tupi, No Nordeste Brasileiro.” In Os Ceramistas Tupiguarani, edited by André Prous and Tania Andrade Lima, 55–78. Belo Horizonte: Sigma.",FALSE,shcal20,0,0,,TP,,PE-123-Pja,Tupiguarani
PE-93-Cm,,510,150,BaH-1086-A,,Tupiguarani,,-8.03,-34.99,,,Albuquerque 2008,"Albuquerque, Marco. 2008. “Recipientes Cerâmicos de Grupos Tupi, No Nordeste Brasileiro.” In Os Ceramistas Tupiguarani, edited by André Prous and Tania Andrade Lima, 55–78. Belo Horizonte: Sigma.",FALSE,shcal20,0,0,,TP,,PE-93-Cm,Tupiguarani
Pedro Pereira III,GO-JU-39,510,75,N-2352,,Tupiguarani,,-16,-52,,,Schmitz 1976,"Schmitz, Pedro I. 1976. “Arqueologia de Goiás: Sequencia Cultural e Datações de C14.” Anuário de Divulgação Científica 3/4: 1–19.",FALSE,shcal20,0,0,,TP,,Pedro Pereira III (GO-JU-39),Tupiguarani
Rio Uruguai,,510,70,,,Tupiguarani,Guarani,-27.17,-53.73,,,Piazza 1969,"Piazza, Walter F. 1969. “Notícia Arqueológica Do Vale Do Uruguai.” Publicaçoes Avulsas Do Museu Paraense Emilio Goeldi 10: 55–57.",FALSE,shcal20,0,0,,TP,,Rio Uruguai,Tupiguarani (Guarani)
Totó,PS-03,510,40,Beta-282128,Charcoal,Tupiguarani,Guarani,-31.711,-52.195,Dark layer with high density of ceramic debris and fragmented funerary urn.,,Alves 2012,"Alves, Aluísio Gomes. 2012. “Análise Espacial Em Um Sítio Guarani No Litoral Sudoeste Da Laguna Dos Patos, Sítio PS-03 Totó - RS.” Museu de Arqueologia e Etnologia. São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Totó (PS-03),Tupiguarani (Guarani)
Barra do Santo Cristo 1,,500,70,LP-1874,Charcoal,Tupiguarani,Guarani,-27.568,-54.72,,,Angrizani 2012,"Angrizani, Rodrigo Costa. 2012. “Variabilidad, Movilidad y Paisaje: Una Propuesta Interpretativa Para Los Vestigios de Los Asentamientos Precoloniales En El Noroeste Del Rio Grande Do Sul (Brasil).” La Plata: Universidad Nacional de La Plata.",FALSE,shcal20,0,0,,TP,,Barra do Santo Cristo 1,Tupiguarani (Guarani)
Elevatório de Água,PR-UV-16,500,45,SI-1015,Charcoal,Tupiguarani,Guarani,-26.2388,-51.0433,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Elevatório de Água (PR-UV-16),Tupiguarani (Guarani)
Llamarada 1,,500,60,Beta-41940,,Tupiguarani,Guarani,-28.319,-58.082,,,Mujica 1995,"Mujica, J I. 1995. “Un Sitio Guaraní En El Centro de La Provincia de Corrientes -Llamarada- Santa Rosa. Depto. de Concepción.” In XX Encuentro de Geohistoria Regional, 135–48. Governador Virasoro.",FALSE,shcal20,0,0,,TP,,Llamarada 1,Tupiguarani (Guarani)
Trevisan,Mt04,500,30,Beta-469164,Charcoal,Tupiguarani,,-9.8132,-57.8212,Site with ADE enclosed by ditch. Ceramics are provisionally assigned to Tupi influence given Munduruku occupation of the area and similarities with Mangabal and other complexes (Gaspar 2014).,,Souza 2018,"Souza, Jonas Gregorio de, Denise Pahl Schaan, Mark Robinson, Antonia Damasceno Barbosa, Luiz E. O. C. Aragão, Ben Hur Marimon, Beatriz Schwantes Marimon, et al. 2018. “Pre-Columbian Earth-Builders Settled along the Entire Southern Rim of the Amazon.” Nature Communications 9 (1): 1125.",FALSE,shcal20,0,0,,TP,,Trevisan (Mt04),Tupiguarani
Corpus,,495,20,Beta-134675,Human bone,Tupiguarani,Guarani,-27.11,-55.5016,The site contained burials. Enriched isotopic values from human bone collagen and apatite are compatible with consumption of maize.,,Loponte et al. 2016,"Loponte, Daniel, Mirian Carbonera, María José Corriale, and Alejandro Acosta. 2016. “Horticulturists and Oxygen Ecozones in the Tropical and Subtropical Forests of Southeast South America.” Environmental Archaeology, 1–21.",FALSE,shcal20,0,0,,TP,,Corpus,Tupiguarani (Guarani)
Bom Jardim,RO-JI-29,490,60,,,Proto-Tupiguarani,,-10.7979,-61.7638,,,Miller 2009,"Miller, Eurico T. 2009. “A Cultura Cerâmica Do Tronco Tupí No Alto Ji-Paraná, Rondônia, Brasil: Algumas Reflexões Teóricas, Hipotéticas e Conclusivas.” Revista Brasileira de Linguística Antropológica 1 (1): 35–136.",FALSE,shcal20,0,0,,TP,,Bom Jardim (RO-JI-29),Proto-Tupiguarani
Erveiras,PR-SM-14,490,40,Beta-256208,,Tupiguarani,Guarani,-25.7923,-50.4317,,,Chmyz et al. 2009,"Chmyz, Igor, Eliane Sganzerla, Jonas E Volcov, Eloi Bora, Roseli S Ceccon, and CEPA-UFPR. 2009. “Relatório Final Do Projeto de Salvamento Arqueológico Na Área de Implantação Da Mina Dois Irmãos, Em São Mateus Do Sul – Paraná.” Curitiba.",FALSE,shcal20,0,0,,TP,,Erveiras (PR-SM-14),Tupiguarani (Guarani)
RS-T-114,RS-T-114,490,30,Beta-388515,Charcoal,Tupiguarani,Guarani,-29.2885,-52.1195,"Layer of dark earth with abundant ceramic debris, ovens and pit features.",,Schneider et al. 2017,"Schneider, Fernanda, Sidnei Wolf, Marcos R Kreutz, and Neli Teresinha Galarce Machado. 2017. “Tempo e Espaço Guarani: Um Estudo Acerca Da Ocupação, Cronologia e Dinâmica de Movimentação Pré-Colonial Na Bacia Do Rio Taquari/Antas, Rio Grande Do Sul, Brasil.” Boletim Do Museu Paraense Emilio Goeldi:Ciencias Humanas 12 (1): 31–56.",FALSE,shcal20,0,0,,TP,,RS-T-114,Tupiguarani (Guarani)
Santa Marina,,490,50,,,Tupiguarani,,-23.4003,-45.7494,"18 patches of dark earth covering 40 ha with abundant ceramic debris, hearths and polished axes.",,Moraes 2007,"Moraes, Camila Azevedo. 2007. “Arqueologia Tupi No Nordeste de São Paulo: Um Estudo de Variabilidade Artefatual.” Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Santa Marina,Tupiguarani
São Carlos,SC-VX-05,490,70,SI-548,Charcoal,Tupiguarani,Guarani,-27.1,-53.017,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,São Carlos (SC-VX-05),Tupiguarani (Guarani)
Sete Quedas 2,PR-FO-03,490,60,SI-5040,,Tupiguarani,Guarani,-24.0766,-54.2537,,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Sete Quedas 2 (PR-FO-03),Tupiguarani (Guarani)
Vão Grande,TO00415,490,50,Beta-195244,,Tupiguarani,,-9.9597,-48.3189,Rock shelter with parietal art.,,Morales 2008,"Morales, Walter F. 2008. Brasil Central: 12.000 Anos de Ocupação No Médio Curso Do Rio Tocantins, TO. São Paulo: Annablume.",FALSE,shcal20,0,0,,TP,,Vão Grande (TO00415),Tupiguarani
Ipiranga,RO-JI-23a,480,60,,,Proto-Tupiguarani,,-10.8993,-61.9285,,,Miller 2009,"Miller, Eurico T. 2009. “A Cultura Cerâmica Do Tronco Tupí No Alto Ji-Paraná, Rondônia, Brasil: Algumas Reflexões Teóricas, Hipotéticas e Conclusivas.” Revista Brasileira de Linguística Antropológica 1 (1): 35–136.",FALSE,shcal20,0,0,,TP,,Ipiranga (RO-JI-23a),Proto-Tupiguarani
Bitoca 2,PA-AT-278,480,40,Beta-227308,Charcoal,Tupiguarani,,-5.8237,-50.4992,ADE site.,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Bitoca 2 (PA-AT-278),Tupiguarani
Domingos II,,480,60,,,Tupiguarani,,-22.5142,-51.974,,,Moraes 2007,"Moraes, Camila Azevedo. 2007. “Arqueologia Tupi No Nordeste de São Paulo: Um Estudo de Variabilidade Artefatual.” Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Domingos II,Tupiguarani
Edinaldo,PA-AT-289,480,50,Beta-227312,Charcoal,Tupiguarani,,-5.8084,-50.538,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Edinaldo (PA-AT-289),Tupiguarani
Llamarada 1,,480,50,Beta-41944,,Tupiguarani,Guarani,-28.319,-58.082,,,Mujica 1995,"Mujica, J I. 1995. “Un Sitio Guaraní En El Centro de La Provincia de Corrientes -Llamarada- Santa Rosa. Depto. de Concepción.” In XX Encuentro de Geohistoria Regional, 135–48. Governador Virasoro.",FALSE,shcal20,0,0,,TP,,Llamarada 1,Tupiguarani (Guarani)
MT-IV-01,MT-IV-01,475,60,SI-1017,Charcoal,Tupiguarani,Guarani,-23.5,-52.5,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,MT-IV-01,Tupiguarani (Guarani)
Arroio Corrente V,,470,40,Beta-280654,Charcoal,Tupiguarani,Guarani,-28.6852,-49.0358,,,Milheira and DeBlasis 2011,"Milheira, Rafael Guedes, and Paulo DeBlasis. 2011. “O Território Guarani No Litoral Sulcatarinense: Ocupação e Abandono No Limiar Do Período Colonial.” Revista de Arqueologia Americana 29: 147–82.",FALSE,shcal20,0,0,,TP,,Arroio Corrente V,Tupiguarani (Guarani)
